0.746740,0.236639,0.724646,0.747664,0.686773,0.531451,0.808868,0.346914,0.751106,0.646371,0.131374,0.439139,0.262705,0.812970,0.558278,0.480134,0.566421,0.381570,0.272608,0.771695,0.230022
0.660366,0.624372,0.756760,0.208757,0.656214,0.479915,0.754401,0.373689,0.298331,0.261898,0.152896,0.811393,0.623644,0.569794,0.340004,0.538442,0.253914,0.435147,0.799286,0.696296,0.458881
0.304116,0.386628,0.899032,0.254576,0.737039,0.662834,0.377968,0.460206,0.282632,0.589127,0.262929,0.223182,0.464918,0.263414,0.394503,0.439346,0.262646,0.240850,0.148669,0.252454,0.643698
0.823661,0.842523,0.379315,0.364268,0.571399,0.446366,0.731676,0.219633,0.763479,0.377803,0.364607,0.599678,0.317803,0.603434,0.429489,0.372128,0.438275,0.426624,0.552939,0.387781,0.390382
0.420173,0.572811,0.558949,0.610081,0.432672,0.652250,0.416634,0.530705,0.770111,0.415303,0.614925,0.467515,0.570653,0.708352,0.208065,0.329834,0.159975,0.754293,0.618136,0.630022,0.812938
0.521878,0.542766,0.580809,0.465250,0.740472,0.585626,0.690212,0.754814,0.560104,0.222659,0.459043,0.491189,0.275227,0.423791,0.241662,0.643510,0.221189,0.803824,0.447191,0.360102,0.052337
0.700538,0.654185,0.649484,0.125338,0.462055,0.641013,0.746706,0.309429,0.256297,0.270161,0.210900,0.637687,0.679659,0.692982,0.320270,0.588080,0.288575,0.566833,0.747592,0.665273,0.396944
0.547120,0.321572,0.590463,0.197261,0.479741,0.804888,0.332962,0.672859,0.145924,0.598104,0.397473,0.246600,0.530943,0.032585,0.696226,0.139838,0.585989,0.393121,0.675454,0.735436,0.330469
0.545262,0.384179,0.531358,0.327845,0.413884,0.184520,0.711562,0.328520,0.382012,0.771201,0.561552,0.123853,0.308852,0.569487,0.386547,0.369790,0.739109,0.577511,0.554401,0.587706,0.604861
0.735715,0.623838,0.820587,0.321459,0.613901,0.266443,0.473973,0.203716,0.688127,0.707902,0.549288,0.466413,0.322587,0.667854,0.525400,0.692588,0.694901,0.754073,0.611135,0.174611,0.266045
0.311681,0.408057,0.778340,0.266885,0.826664,0.563573,0.455718,0.386476,0.247547,0.597258,0.163920,0.204787,0.458423,0.262208,0.284735,0.305638,0.423575,0.324976,0.111394,0.269727,0.522535
