0.596264,0.524184,0.610402,0.574185,0.530989,0.730361,0.379298,0.383374,0.811352,0.669100,0.660181,0.152282,0.728569,0.582613,0.827314,0.214261,0.783565,0.351034,0.767706,0.304147,0.671460,0.656632,0.509566,0.389875,0.200670,0.502820,0.339107
0.770229,0.741526,0.743099,0.781028,0.227465,0.239552,0.349300,0.791875,0.397103,0.315268,0.698178,0.489398,0.769495,0.328848,0.688184,0.472677,0.331494,0.568217,0.348111,0.211876,0.250671,0.270679,0.792159,0.688699,0.733881,0.584576,0.397923
0.417523,0.128527,0.661933,0.594671,0.373777,0.513676,0.248844,0.508887,0.773062,0.353743,0.612481,0.325627,0.670288,0.359632,0.272332,0.505887,0.236673,0.631962,0.112203,0.612558,0.177243,0.528162,0.890738,0.281748,0.556436,0.544803,0.637739
0.463747,0.584869,0.655193,0.589824,0.504951,0.772944,0.399223,0.372938,0.773336,0.801676,0.552763,0.232098,0.618460,0.606263,0.656726,0.340320,0.689323,0.236414,0.550830,0.191212,0.734653,0.757589,0.496951,0.372338,0.205250,0.569441,0.494166
0.303822,0.866430,0.429136,0.437341,0.344091,0.661277,0.361424,0.442939,0.605441,0.261912,0.536632,0.555215,0.202161,0.327966,0.590478,0.363994,0.446559,0.416109,0.813521,0.162605,0.192821,0.333946,0.572461,0.586300,0.398673,0.818582,0.410180
0.496227,0.245915,0.579043,0.507632,0.348119,0.479817,0.244086,0.518242,0.710285,0.438428,0.587675,0.340965,0.590482,0.362725,0.268388,0.456822,0.219910,0.808293,0.220564,0.565462,0.244314,0.644309,0.771845,0.348896,0.562418,0.521923,0.658022
0.381893,0.785165,0.406326,0.544351,0.326011,0.666413,0.274534,0.477370,0.516701,0.146258,0.494696,0.440701,0.338068,0.240161,0.410339,0.351593,0.429125,0.531753,0.761832,0.142073,0.302202,0.412346,0.501815,0.574045,0.415790,0.802735,0.451280
0.775617,0.651236,0.519966,0.752909,0.461128,0.786500,0.817729,0.643351,0.554403,0.731406,0.338795,0.747113,0.571184,0.120694,0.359154,0.276872,0.715225,0.497358,0.507551,0.596966,0.384859,0.280195,0.642652,0.221277,0.462573,0.311519,0.197706
0.719637,0.585100,0.911687,0.721514,0.239332,0.290185,0.408670,0.733690,0.528860,0.378225,0.714338,0.465000,0.751538,0.320224,0.567728,0.431001,0.315274,0.611876,0.284248,0.243516,0.217784,0.273941,0.756122,0.561586,0.826016,0.610243,0.513217
0.330213,0.570099,0.494631,0.520975,0.332597,0.311079,0.667778,0.371653,0.405840,0.686778,0.623512,0.259907,0.382471,0.509231,0.669948,0.801536,0.880903,0.824951,0.433782,0.639407,0.269118,0.288727,0.700483,0.314528,0.570026,0.275636,0.655686
