0.170883,0.635786,0.173801,0.389181,0.523969,0.834685,0.225771,0.495543,0.281347,0.508294,0.668452,0.268262,0.286153,0.162188,0.525188,0.660462,0.583571,0.836512,0.119554,0.588227,0.502762,0.632576,0.811482,0.168639,0.738731,0.658935,0.474460,0.508943,0.655970
0.212206,0.090790,0.269540,0.585890,0.447120,0.487729,0.798165,0.718051,0.305642,0.603022,0.395413,0.068832,0.613682,0.478301,0.429624,0.556572,0.660398,0.548117,0.805125,0.426708,0.828958,0.307635,0.748464,0.641344,0.356890,0.828726,0.577319,0.333465,0.309532
0.321729,0.106730,0.130400,0.567320,0.502362,0.503892,0.681576,0.848719,0.363478,0.600131,0.319772,0.353707,0.580210,0.403013,0.551800,0.515115,0.629706,0.561465,0.758929,0.310469,0.808188,0.355148,0.690819,0.712771,0.257900,0.779417,0.585962,0.299849,0.202089
0.340359,0.783627,0.251760,0.378177,0.271496,0.429846,0.726278,0.642688,0.487122,0.119660,0.492461,0.178704,0.299098,0.802471,0.370997,0.718679,0.634530,0.445878,0.644642,0.191521,0.591231,0.575423,0.620050,0.458051,0.801328,0.143042,0.242396,0.674586,0.367589
0.133594,0.662947,0.401389,0.288174,0.702457,0.354773,0.209456,0.171373,0.238958,0.725140,0.757184,0.637735,0.632066,0.396235,0.293275,0.871238,0.377484,0.495467,0.455613,0.768955,0.252651,0.343943,0.557930,0.268130,0.593624,0.421085,0.374525,0.354947,0.477476
0.554393,0.651041,0.627795,0.455861,0.347095,0.544535,0.453836,0.766001,0.782331,0.367256,0.790242,0.496016,0.539824,0.823146,0.159113,0.303722,0.176360,0.673991,0.609027,0.798731,0.830136,0.719581,0.436437,0.612326,0.217375,0.633236,0.190712,0.702757,0.521685
0.329506,0.434724,0.558783,0.120122,0.285198,0.445180,0.235294,0.327876,0.293990,0.217694,0.321639,0.273846,0.206805,0.631704,0.729910,0.788034,0.406465,0.303395,0.571328,0.292770,0.917209,0.223261,0.660693,0.489862,0.463198,0.639014,0.473614,0.677024,0.579435
0.533145,0.320268,0.272877,0.176619,0.567524,0.218753,0.310337,0.380507,0.621170,0.204506,0.714964,0.240077,0.802269,0.497074,0.689525,0.351780,0.599324,0.227549,0.463781,0.176200,0.368790,0.204832,0.338432,0.445682,0.129129,0.665061,0.594351,0.382750,0.620401
0.672886,0.356276,0.228623,0.238332,0.290308,0.265093,0.402201,0.722869,0.640580,0.401779,0.374718,0.258256,0.716077,0.179457,0.559199,0.679393,0.739156,0.384465,0.477862,0.485929,0.409800,0.451541,0.324399,0.505675,0.168728,0.722996,0.176074,0.503431,0.322441
0.785137,0.534597,0.564259,0.771951,0.491875,0.803113,0.544913,0.690781,0.752045,0.674445,0.260533,0.696684,0.562009,0.324767,0.432844,0.357178,0.668205,0.193788,0.703108,0.334680,0.305825,0.174157,0.426643,0.466475,0.779395,0.303399,0.685646,0.757050,0.393687
