-0.2469-0.1869j, -0.4325-0.4023j, 0.0518+0.0403j, 0.0467-0.0322j, 0.2570+0.1282j, 0.1915+0.1933j, 0.2414+0.1389j, -0.3563-0.2005j, -0.0248-0.0303j, -0.2408-0.2948j, 
0.1519+0.0300j, -0.1184-0.0044j, 0.2722+0.0782j, -0.7849-0.0252j, 0.0995+0.0191j, -0.3654-0.1636j, 0.0110-0.0500j, -0.2233-0.1344j, -0.0964+0.0098j, 0.1186-0.0224j, 
-0.1752-0.1781j, -0.2004-0.0815j, -0.0501-0.1283j, -0.0614-0.1215j, -0.2712-0.1643j, -0.5012-0.0962j, 0.1693+0.2638j, 0.4011+0.1813j, 0.2046-0.0600j, -0.3806-0.0997j, 
0.0840+0.0111j, 0.0648+0.0237j, -0.5646-0.3733j, -0.3348-0.0834j, -0.4211-0.0044j, 0.2833-0.0196j, 0.0909+0.0078j, -0.2362-0.0605j, 0.0681+0.2148j, -0.0509-0.1782j, 
0.3524-0.4413j, 0.2210-0.2752j, 0.1896-0.2172j, 0.0132-0.1144j, -0.0330+0.0623j, 0.0602+0.0005j, 0.2186-0.3103j, -0.1147+0.1417j, -0.0305-0.0758j, -0.2993+0.4219j, 
0.2074+0.0155j, -0.3685-0.1479j, 0.1244+0.1814j, 0.1264+0.1788j, -0.5647-0.0746j, 0.0867-0.1369j, -0.1028-0.1761j, 0.0908-0.0626j, -0.5257-0.0856j, -0.0168-0.1196j, 
0.0207-0.2287j, 0.0323-0.0137j, -0.0949+0.4501j, -0.0868+0.0205j, 0.0137-0.4312j, 0.0830+0.1766j, 0.1260+0.2233j, 0.0637-0.0900j, -0.1189+0.5754j, -0.0189+0.2808j, 
0.1475+0.4831j, -0.1570-0.3993j, -0.0166-0.2635j, 0.0831+0.2454j, 0.0799+0.1439j, -0.0327-0.2403j, 0.1965+0.3038j, 0.0691-0.0118j, 0.0018+0.2259j, 0.0898+0.3783j, 
0.0239-0.2653j, -0.0221+0.2084j, -0.0101-0.1491j, -0.0257+0.3144j, 0.1784-0.1604j, 0.2181-0.4503j, -0.0462+0.0544j, 0.2080-0.5849j, 0.1052-0.1504j, -0.1702+0.0475j, 
-0.0141-0.2634j, 0.0145+0.2716j, 0.0560-0.0053j, -0.0808+0.0130j, -0.0757+0.1532j, 0.2090-0.0617j, 0.3667+0.5398j, -0.0249+0.2515j, -0.2574-0.3261j, 0.3160+0.0885j, 

