-34.16722, -11.21077, -7.33719, -6.68312, -20.81091, -9.94719, -20.69899, -12.30129, -7.35776, -9.46250
-26.47835, -9.30577, -16.96700, -15.85100, -13.73137, -23.63476, -7.22113, -13.05544, -18.94298, -9.57489
-42.05685, -12.29806, -8.71849, -14.53238, -15.19262, -31.57363, -18.17879, -18.31119, -18.49213, -5.45281
-30.83869, -7.79741, -14.08318, -8.51699, -17.49179, -16.98754, -15.79615, -18.21935, -10.17750, -7.13186
-12.50123, -4.88977, -14.75199, -9.80723, -14.67473, -11.63709, -5.95663, -11.74023, -5.99633, -7.72261
-11.46273, -11.40300, -8.06188, -15.32025, -17.55871, -9.75331, -8.80842, -10.66912, -20.64070, -20.22591
-15.70179, -10.24072, -13.67142, -15.40646, -31.12858, -13.74174, -9.37666, -13.24894, -10.95234, -19.20720
-17.15690, -16.48277, -4.32879, -18.24721, -13.67181, -16.39695, -7.18733, -8.19808, -7.97985, -1.36667
-28.84967, -22.33866, -16.30684, -19.60721, -11.28995, -16.19630, -16.30925, -15.52571, -14.62044, -12.19565
-14.59987, -12.15462, -6.07837, -9.76845, -13.52590, -10.87226, -14.75377, -9.02514, -13.09003, -1.64924
-15.32647, -15.48091, -16.49730, -15.12553, -10.33804, -14.17366, -15.12563, -16.53248, -23.82285, -9.19128
-17.79021, -12.47290, -13.09989, -13.95796, -8.96345, -12.68114, -13.99858, -8.06548, -7.62718, -2.53881
-29.85579, -13.60054, -18.02268, -18.24295, -10.26592, -15.48325, -16.42858, -36.04488, -17.38845, -5.77093
-16.47526, -4.25702, -10.84607, -18.96306, -13.28968, -11.37812, -10.85440, -14.02120, -17.29296, -11.30475
-13.50480, -22.01336, -13.75407, -25.48340, -20.46436, -9.15794, -11.66957, -5.38149, -7.79794, -2.16562
-14.45174, -16.34055, -19.39989, -14.69768, -24.20044, -12.08531, -11.37819, -17.25911, -7.36252, -8.17966
-16.70722, -9.77880, -12.88360, -18.12331, -15.62410, -16.07266, -13.45846, -16.79238, -11.19518, -7.34049
