0.226186,0.770271,0.496732,0.659349,0.628865,0.495719,0.780835,0.760019,0.432621,0.353146,0.794191,0.362629
0.282088,0.606063,0.839152,0.453183,0.414948,0.358932,0.248313,0.506823,0.367057,0.604470,0.426486,0.408601
0.428652,0.463309,0.572398,0.600884,0.690242,0.364466,0.407555,0.483508,0.858528,0.369875,0.295949,0.278668
0.321690,0.625990,0.218207,0.524234,0.541127,0.184364,0.752993,0.215226,0.538456,0.328296,0.681898,0.698176
0.433686,0.678267,0.626098,0.566485,0.496199,0.311624,0.290128,0.574593,0.391331,0.695474,0.424031,0.436752
0.474748,0.479202,0.640878,0.511767,0.688423,0.450744,0.560766,0.243180,0.844471,0.284173,0.343979,0.152625
0.534248,0.523631,0.572903,0.476031,0.308864,0.457030,0.455477,0.173471,0.474273,0.299426,0.152197,0.313820
0.792346,0.237024,0.388241,0.215130,0.209674,0.741651,0.217276,0.458192,0.621690,0.394916,0.282913,0.700758
0.739810,0.361798,0.595271,0.744417,0.573003,0.391625,0.645756,0.679335,0.397112,0.683814,0.652878,0.330269
0.382468,0.549053,0.581754,0.544982,0.702119,0.420464,0.336421,0.415188,0.789936,0.241002,0.219179,0.228674
0.316344,0.685531,0.839935,0.352774,0.138444,0.446111,0.690104,0.413402,0.584254,0.493716,0.236118,0.285128
0.873678,0.307782,0.652289,0.658063,0.688594,0.495330,0.824020,0.602155,0.334054,0.678916,0.591959,0.432884
0.359236,0.835787,0.539672,0.531767,0.623026,0.596786,0.752963,0.694693,0.418498,0.493539,0.753560,0.430604
0.264717,0.739837,0.492135,0.504851,0.596244,0.527033,0.846141,0.774137,0.457347,0.496368,0.711432,0.387732
0.334358,0.811590,0.550594,0.575932,0.629963,0.462726,0.755507,0.736083,0.468126,0.516328,0.795855,0.496016
0.774684,0.817270,0.523870,0.726530,0.167175,0.340722,0.748922,0.764439,0.218032,0.363763,0.473908,0.333210
0.923164,0.322381,0.508408,0.295492,0.172121,0.739034,0.244976,0.612308,0.606634,0.365194,0.158749,0.685897
0.480240,0.658464,0.887263,0.398938,0.377580,0.578394,0.371253,0.281208,0.232226,0.685936,0.721771,0.640193
0.419829,0.745766,0.866786,0.507306,0.447911,0.498508,0.341760,0.084361,0.192731,0.676452,0.806839,0.637554
0.802073,0.373396,0.378132,0.342113,0.222059,0.790569,0.239657,0.577963,0.484828,0.389588,0.215400,0.809394
0.180208,0.807479,0.118679,0.560450,0.519015,0.259753,0.814367,0.166330,0.591916,0.232643,0.649992,0.836931
0.765352,0.540108,0.609716,0.624812,0.260474,0.268203,0.620243,0.250405,0.476562,0.324575,0.158026,0.309775
0.568438,0.823929,0.759185,0.603833,0.478484,0.551145,0.439715,0.253388,0.136989,0.651374,0.611241,0.477719
