0.2106-0.1703j, 0.0667+0.7226j, -0.1735+0.2308j, 0.1660-0.4172j, -0.0881-0.1550j, -0.1397-0.2488j, -0.0368+0.0196j, -0.0094+0.0050j, -0.0000-0.0000j, 0.0000+0.0000j, 
-0.3214-0.3057j, -0.0550+0.4737j, 0.3612-0.1253j, -0.2196+0.4888j, 0.1695-0.0656j, 0.2275-0.1853j, -0.0386-0.1013j, -0.0363-0.0724j, -0.0155-0.0341j, -0.0272-0.0543j, 
-0.5949+0.2503j, -0.1186-0.0445j, 0.2758+0.2097j, 0.0899-0.5313j, 0.2109-0.0935j, 0.2816-0.0416j, -0.0684+0.0293j, -0.0497+0.0727j, -0.0265+0.0434j, -0.0403+0.0719j, 
-0.0624+0.1315j, 0.1498+0.2342j, -0.3476-0.3809j, -0.1595-0.2184j, 0.3465+0.5492j, 0.1788+0.1380j, 0.1119-0.0543j, -0.0225-0.1652j, -0.0344-0.1013j, -0.0565-0.1785j, 
0.1989+0.1108j, 0.3162+0.1690j, 0.0152+0.0474j, 0.1365+0.0963j, -0.1056-0.1155j, 0.6528+0.3625j, 0.0801+0.0679j, 0.2231+0.1709j, 0.1347+0.1090j, 0.2294+0.1855j, 
0.1192-0.1840j, 0.0448-0.0698j, 0.2017-0.3558j, 0.1225-0.2407j, 0.3194-0.5054j, -0.1400+0.2709j, 0.2017-0.2953j, 0.1072-0.1508j, 0.1360-0.2257j, 0.0814-0.1272j, 
-0.0033+0.4341j, 0.0333+0.1248j, 0.1060+0.4352j, 0.0949+0.1769j, -0.1584+0.0769j, -0.0472+0.1505j, 0.0478-0.4714j, 0.0048-0.3838j, 0.0255-0.2004j, 0.0105-0.2919j, 
-0.0546+0.0165j, -0.0211+0.0062j, -0.1045+0.0387j, -0.0701+0.0294j, 0.1046+0.0194j, -0.0661+0.0498j, -0.5187+0.1698j, -0.1802-0.1344j, 0.5745-0.3440j, 0.3790+0.1394j, 
0.0170+0.0122j, 0.0064+0.0048j, 0.0332+0.0235j, 0.0229+0.0159j, -0.0089-0.0901j, 0.0431+0.0487j, 0.0500+0.4416j, 0.2464-0.6777j, -0.0424-0.1040j, -0.3833+0.3282j, 
0.0007+0.0022j, 0.0003+0.0012j, 0.0040+0.0069j, 0.0041+0.0044j, -0.0584+0.1562j, 0.0027-0.1175j, 0.1226-0.3028j, 0.1408+0.3269j, 0.0017-0.6191j, -0.2480+0.5292j, 

