0.219064,0.451783,0.314101,0.608648,0.300518,0.448243,0.824681,0.590644,0.683014,0.685767,0.604106,0.640912,0.727332,0.778980,0.475915,0.318283,0.419592,0.263752,0.486021,0.284784,0.566507,0.459832,0.708705,0.808290,0.475023,0.410349,0.446470,0.816018,0.332745,0.641955,0.173139
0.456596,0.390564,0.501872,0.318702,0.705002,0.363291,0.419540,0.763591,0.662873,0.136830,0.272455,0.452695,0.818564,0.752519,0.846921,0.666125,0.408837,0.735420,0.299567,0.175255,0.698450,0.369498,0.653502,0.236542,0.653680,0.742055,0.348641,0.388447,0.379328,0.580375,0.280884
0.448471,0.459727,0.561042,0.417679,0.494629,0.435981,0.368422,0.694970,0.617627,0.235420,0.316736,0.469024,0.755750,0.825525,0.792989,0.800639,0.383672,0.767619,0.432300,0.223240,0.681123,0.400291,0.520325,0.153859,0.710748,0.751603,0.338171,0.495207,0.353193,0.643016,0.330071
0.390301,0.633404,0.522588,0.610368,0.817110,0.712539,0.625237,0.679757,0.497375,0.276475,0.251681,0.381724,0.453864,0.453737,0.708709,0.698813,0.288421,0.191426,0.514301,0.737195,0.637081,0.760357,0.756665,0.521431,0.500714,0.259565,0.616910,0.571986,0.728219,0.263471,0.442210
0.244284,0.333027,0.653544,0.413989,0.396453,0.271553,0.779202,0.605125,0.676718,0.596638,0.450873,0.317177,0.547578,0.744070,0.614847,0.176071,0.667685,0.735499,0.611327,0.401862,0.514164,0.335124,0.352000,0.747911,0.808909,0.399249,0.522241,0.639182,0.710887,0.317211,0.343639
0.186073,0.654200,0.314312,0.472513,0.598876,0.503377,0.756858,0.330578,0.638337,0.179271,0.488985,0.507143,0.506787,0.408971,0.329453,0.266968,0.418551,0.666802,0.352873,0.503060,0.298907,0.285659,0.325613,0.222931,0.352244,0.283121,0.275177,0.694557,0.261085,0.517883,0.661135
0.634331,0.585128,0.498036,0.447866,0.333684,0.606057,0.487155,0.651196,0.732375,0.649853,0.681300,0.212577,0.456716,0.722723,0.331133,0.625997,0.246745,0.345720,0.249183,0.762499,0.352630,0.402174,0.765051,0.613387,0.174908,0.385521,0.520245,0.590147,0.347581,0.773612,0.409139
0.555504,0.655520,0.566824,0.493656,0.374742,0.584569,0.484731,0.698522,0.792024,0.430171,0.655304,0.418795,0.493325,0.789166,0.163729,0.267325,0.320454,0.645232,0.616317,0.706545,0.774803,0.660536,0.495663,0.639602,0.361323,0.694545,0.313107,0.762819,0.582436,0.411944,0.230158
0.391535,0.625512,0.499736,0.769748,0.588003,0.569512,0.727375,0.263881,0.506547,0.516314,0.807321,0.373703,0.298494,0.206739,0.334154,0.859588,0.469917,0.655096,0.371052,0.559730,0.147894,0.529359,0.743263,0.793022,0.445322,0.771373,0.269254,0.821528,0.811464,0.784976,0.555972
0.352157,0.508703,0.464708,0.720987,0.740194,0.556046,0.753498,0.246338,0.471478,0.563586,0.742543,0.345950,0.321400,0.309230,0.210528,0.725798,0.572117,0.643266,0.209180,0.445391,0.184987,0.547272,0.740247,0.796385,0.477726,0.804655,0.400122,0.918985,0.745012,0.752956,0.563100
