0.803592,0.878118,0.405762,0.606956,0.513005,0.202168,0.800077,0.352241,0.350595,0.569360,0.655402,0.492154,0.854080,0.542275,0.727098,0.162590,0.847704,0.690756,0.316821
0.236369,0.218554,0.110292,0.655503,0.357527,0.299752,0.766941,0.609241,0.164536,0.272985,0.588663,0.521337,0.243408,0.794123,0.664514,0.538468,0.625890,0.618024,0.524010
0.743741,0.874015,0.321309,0.563694,0.437602,0.078118,0.764750,0.349608,0.388387,0.578713,0.715538,0.669740,0.599274,0.469096,0.710207,0.375223,0.779544,0.620028,0.360694
0.340283,0.717060,0.615876,0.500059,0.588192,0.506472,0.415793,0.758983,0.378838,0.478732,0.739792,0.806756,0.672978,0.177416,0.815580,0.662071,0.936757,0.426806,0.656454
0.409551,0.416122,0.671047,0.397557,0.770241,0.640420,0.733166,0.785286,0.217886,0.552903,0.551031,0.898224,0.344301,0.326886,0.194694,0.181573,0.764302,0.651054,0.723537
0.854273,0.573120,0.262484,0.311019,0.552740,0.095770,0.316688,0.382504,0.429581,0.450497,0.344568,0.558052,0.814324,0.261525,0.561302,0.341733,0.532313,0.376417,0.529519
0.728059,0.832013,0.798623,0.516729,0.724593,0.178225,0.430644,0.233631,0.782302,0.481089,0.509408,0.428596,0.635627,0.368289,0.667146,0.290027,0.555899,0.480465,0.552347
0.646820,0.346047,0.760504,0.595264,0.760175,0.618768,0.579838,0.447127,0.748617,0.607535,0.452898,0.602164,0.219104,0.353655,0.617037,0.293249,0.593884,0.496657,0.273877
0.748897,0.636777,0.232260,0.258062,0.554384,0.309403,0.273980,0.390147,0.383960,0.498638,0.356963,0.603981,0.734222,0.088417,0.518678,0.149148,0.681041,0.356800,0.584263
0.402835,0.534327,0.272216,0.476324,0.769437,0.636309,0.487207,0.705667,0.372952,0.804113,0.746809,0.691762,0.584961,0.762025,0.396631,0.672172,0.551435,0.311363,0.222778
0.376504,0.355039,0.330227,0.377638,0.301393,0.567623,0.284238,0.332877,0.505219,0.723333,0.165905,0.798042,0.191938,0.758979,0.485703,0.831356,0.624561,0.569439,0.114768
0.720258,0.801714,0.676576,0.475635,0.595630,0.266803,0.605944,0.339411,0.786673,0.476082,0.463468,0.382766,0.689582,0.421736,0.639013,0.280089,0.530449,0.628721,0.498436
0.420584,0.374084,0.699516,0.664967,0.648903,0.426401,0.524264,0.256450,0.673186,0.271326,0.599521,0.566891,0.620931,0.391170,0.285900,0.548697,0.385013,0.464833,0.244068
0.575344,0.634176,0.681727,0.474557,0.457173,0.474360,0.445188,0.719543,0.827293,0.429147,0.722554,0.578035,0.504860,0.717574,0.334630,0.318604,0.234529,0.725011,0.693173
0.416552,0.285500,0.263672,0.639274,0.551561,0.365068,0.356536,0.321381,0.141548,0.478156,0.294284,0.459380,0.355231,0.292791,0.249883,0.268960,0.603789,0.455227,0.609076
