0.1298-0.4139j, -0.1126-0.2783j, 0.0129-0.4716j, -0.4280-0.1098j, 0.2004-0.0833j, 0.2263-0.3502j, -0.0531-0.0165j, 0.2011+0.0986j, -0.0747-0.1432j, -0.0278-0.0532j, 
0.3421+0.0512j, -0.2175+0.0776j, -0.2827+0.5512j, -0.2250-0.4341j, 0.0703-0.0986j, -0.1248-0.1669j, -0.3052-0.1850j, 0.0451-0.0594j, -0.0793-0.0726j, -0.0300-0.0267j, 
-0.0618-0.6013j, -0.1584-0.3592j, 0.0823+0.2532j, 0.4894-0.1558j, -0.0887-0.1248j, 0.1043+0.0868j, 0.0820-0.0274j, 0.0428-0.2303j, -0.1137+0.1602j, -0.0350+0.0430j, 
-0.1400+0.3640j, 0.0061-0.0168j, 0.1890+0.0252j, 0.0972-0.0585j, 0.0190-0.3051j, 0.2603-0.1041j, -0.0619+0.1888j, 0.1005+0.0154j, -0.7554-0.0475j, -0.0517+0.0316j, 
0.0283-0.1280j, -0.0510-0.2726j, -0.2355+0.0105j, -0.1419+0.0172j, -0.2465+0.2431j, -0.0871+0.1202j, 0.0253+0.0279j, -0.5991+0.4106j, -0.3628-0.0306j, 0.1518+0.0592j, 
-0.2165-0.2323j, 0.6030+0.2199j, -0.0997-0.0289j, 0.1055-0.1464j, 0.2197+0.0931j, -0.0784-0.2108j, -0.2271-0.1542j, -0.1254-0.0078j, -0.1774+0.2374j, 0.1000-0.3839j, 
-0.1143-0.1975j, 0.3614+0.2818j, -0.2482+0.1159j, -0.0899-0.1952j, -0.2505-0.1943j, 0.2170-0.0279j, 0.2669+0.0580j, 0.1383+0.3108j, 0.0749-0.0259j, -0.2713+0.4451j, 
-0.0215+0.0239j, 0.0139-0.0221j, -0.0258+0.1095j, -0.2084+0.0905j, 0.5775+0.2553j, 0.1224+0.0744j, 0.2845-0.1581j, -0.2317-0.3031j, -0.1552+0.1981j, -0.2975+0.3339j, 
0.0355+0.0493j, -0.0352-0.0347j, 0.1389+0.2548j, 0.1212+0.3238j, -0.1994+0.1514j, 0.3054-0.5902j, -0.0067-0.0869j, -0.2366+0.0684j, 0.1447-0.0937j, -0.3862-0.1969j, 
0.0008+0.0000j, -0.0004-0.0000j, -0.1552-0.1553j, 0.0909+0.1022j, -0.1100+0.2657j, 0.3008+0.1126j, -0.7417+0.0872j, 0.0552-0.1042j, 0.0363+0.1727j, -0.0925+0.3688j, 

-0.1604+0.2077j, 0.3144-0.1950j, -0.1154+0.0694j, 0.2715-0.6875j, 0.3092+0.0579j, -0.1363+0.0348j, 0.0239+0.0755j, 0.1267+0.2802j, 0.0745+0.0040j, 0.0672+0.0036j, 
-0.3257+0.0584j, 0.2724+0.3544j, -0.3870-0.3758j, -0.2235+0.0564j, 0.0065-0.4514j, 0.0989-0.0009j, 0.0429+0.0593j, -0.0070+0.0195j, 0.1884+0.0258j, 0.2105-0.2160j, 
-0.0723-0.0036j, -0.0286+0.1407j, 0.2191+0.4615j, 0.2962+0.3098j, 0.3631-0.3919j, -0.1080-0.0128j, 0.1221+0.0291j, 0.3526-0.0514j, -0.0026-0.1655j, 0.2001-0.1484j, 
0.2067-0.8301j, 0.0642-0.0342j, -0.1421+0.1044j, 0.0123-0.1982j, -0.2196-0.1203j, -0.0984-0.0381j, 0.0703+0.0420j, 0.1002+0.2023j, 0.0751-0.0954j, -0.0068-0.2145j, 
-0.0755-0.0557j, -0.0719-0.1221j, -0.0405+0.0656j, 0.1701-0.1377j, -0.2399-0.0320j, 0.6225-0.2095j, -0.0130+0.0719j, 0.1786-0.1788j, 0.1573-0.1651j, 0.3900+0.3925j, 
-0.1325-0.1920j, 0.2903-0.5919j, 0.1497-0.1034j, -0.0560+0.2145j, 0.2453-0.2361j, -0.0412-0.1410j, 0.0210-0.2594j, -0.4259-0.0071j, 0.0219-0.0446j, 0.1370+0.1445j, 
0.0713-0.0238j, 0.0507+0.0309j, -0.1635-0.2880j, 0.0243+0.0222j, 0.1657-0.0331j, 0.0755-0.0198j, -0.0166+0.0470j, 0.1122+0.0674j, -0.6142-0.6376j, -0.1576+0.1311j, 
-0.0104+0.0524j, -0.0748-0.1959j, 0.0664-0.2696j, 0.0688+0.1354j, -0.1072+0.0518j, -0.1336-0.0103j, 0.7910+0.4126j, 0.0895+0.0718j, 0.0428+0.0541j, 0.0102+0.0835j, 
0.0368-0.1066j, -0.0589-0.3547j, -0.2629-0.2543j, 0.2063+0.1035j, 0.2296+0.2035j, 0.0206+0.1701j, -0.2013+0.1753j, 0.2186-0.5325j, 0.0876+0.0617j, 0.0227-0.3644j, 
-0.0049-0.0076j, 0.0416+0.0651j, -0.1050+0.1676j, -0.0383-0.0376j, -0.1847+0.0587j, -0.3665+0.5539j, -0.0246+0.1504j, -0.2784-0.2064j, -0.0480-0.2437j, 0.4735+0.2097j, 

