0.0032-0.1221j, 0.2416-0.1316j, -0.5742+0.3003j, -0.0691-0.1688j, -0.2500+0.3842j, -0.4649+0.1727j, -0.0107-0.0010j, -0.0042-0.0031j, 
0.0676+0.0865j, -0.2836-0.0039j, 0.6182-0.0099j, -0.0635-0.3247j, -0.2850+0.1662j, -0.5487-0.0757j, 0.0049-0.0010j, 0.0048+0.0012j, 
0.2431-0.1560j, -0.5401-0.4482j, -0.2451-0.2305j, 0.2780-0.0609j, 0.4139+0.1429j, -0.1329-0.1401j, -0.0019+0.0222j, -0.0153-0.0009j, 
0.4768-0.0669j, 0.0995-0.3407j, -0.0265+0.0227j, -0.5816-0.1740j, -0.0005-0.4502j, 0.0017+0.0270j, 0.0649-0.2108j, 0.1344+0.0480j, 
0.0499-0.4607j, 0.1536+0.2026j, 0.1295+0.0595j, -0.0008+0.0407j, 0.1722+0.2759j, 0.0173-0.2965j, 0.4309-0.1770j, 0.4549+0.2842j, 
0.2491+0.5910j, -0.2591+0.2607j, -0.1810+0.1654j, -0.1419+0.2880j, 0.0390+0.1767j, -0.0477-0.1514j, -0.0310-0.1597j, 0.4128-0.1886j, 
-0.0747-0.0614j, -0.0926-0.0320j, -0.0442-0.0284j, -0.1994-0.2019j, -0.1011+0.1450j, 0.2377-0.1222j, 0.5269+0.1909j, -0.1098-0.6848j, 
-0.0741+0.1300j, 0.0626-0.1097j, 0.0145-0.0027j, 0.0507+0.4688j, 0.0967-0.3279j, -0.4521+0.1413j, 0.5135+0.3599j, 0.0047+0.0681j, 

0.2459-0.1467j, -0.4768-0.0650j, -0.1820+0.0913j, -0.0204-0.1479j, -0.0760-0.2258j, 0.3051+0.2208j, 0.0438+0.2686j, 0.0952+0.5840j, 
0.7474+0.3803j, 0.2389-0.1611j, 0.0956-0.0702j, -0.0190-0.0574j, 0.1027+0.0171j, 0.1458-0.1216j, 0.1470-0.0553j, 0.3461-0.0686j, 
0.1543+0.2394j, -0.3608+0.3781j, -0.0066+0.0753j, -0.2069+0.2802j, 0.1822-0.3315j, -0.1228+0.2070j, -0.1112+0.3106j, -0.0257-0.4562j, 
0.1935-0.3045j, 0.2169+0.2876j, 0.2662+0.1149j, -0.0369+0.0806j, 0.3693+0.4437j, -0.2158+0.3059j, -0.2355+0.1965j, 0.1122+0.2609j, 
-0.0014+0.0549j, -0.4797+0.0275j, 0.4202-0.2586j, 0.1985+0.2101j, 0.3229+0.2595j, 0.1475-0.2406j, 0.3401-0.1018j, -0.2376+0.0736j, 
0.0021-0.0042j, -0.0276+0.0236j, 0.1834+0.6887j, 0.1672-0.3639j, 0.3189-0.2330j, 0.0019+0.0960j, 0.1555-0.3477j, -0.1190-0.0768j, 
-0.0119+0.0157j, -0.1270-0.1756j, 0.2476+0.0737j, 0.5601+0.3792j, -0.2711-0.1910j, -0.3433+0.1706j, -0.0881-0.1138j, 0.3820+0.0694j, 
0.0010+0.0110j, -0.0450+0.0365j, -0.1765-0.0733j, -0.1913+0.3268j, 0.0026+0.1362j, 0.3487+0.5164j, -0.0388-0.6364j, 0.0465-0.0342j, 

