0.818,0.488,0.565,0.142
0.380,0.172,0.335,0.879
0.335,0.527,0.506,0.697
0.293,0.474,0.607,0.662
0.216,0.494,0.577,0.701
0.296,0.129,0.343,0.613
0.052,0.690,0.493,0.621
0.922,0.570,0.553,0.177
0.300,0.088,0.301,0.887
1.000,0.514,0.543,0.101
0.288,0.540,0.672,0.640
0.126,0.756,0.545,0.673
0.167,0.542,0.619,0.689
0.839,0.533,0.346,0.066
0.776,0.549,0.511,0.183
0.149,0.743,0.395,0.585
0.430,0.211,0.390,0.753
0.332,0.495,0.610,0.715
0.300,0.564,0.461,0.711
0.284,0.489,0.482,0.698
0.714,0.513,0.407,0.187
0.000,0.737,0.384,0.479
0.733,0.474,0.454,0.214
0.341,0.485,0.577,0.806
0.063,0.724,0.508,0.620
0.354,0.473,0.577,0.673
0.268,0.683,0.550,0.598
0.464,0.245,0.297,0.818
0.216,0.380,0.777,0.637
0.445,0.232,0.392,0.768
0.316,0.280,0.326,0.572
0.864,0.508,0.423,0.138
0.223,0.608,0.431,0.572
0.211,0.684,0.421,0.684
0.429,0.184,0.331,0.828
0.287,0.496,0.691,0.735
0.326,0.394,0.544,0.684
0.287,0.629,0.450,0.619
0.831,0.382,0.526,0.076
0.706,0.530,0.489,0.166
0.791,0.411,0.463,0.196
0.374,0.473,0.590,0.730
0.114,0.738,0.418,0.669
0.349,0.179,0.366,0.663
0.805,0.488,0.438,0.187
0.356,0.814,0.412,0.466
0.762,0.488,0.528,0.217
0.457,0.223,0.233,0.769
0.463,0.238,0.419,0.822
0.415,0.190,0.227,0.789
0.938,0.574,0.406,0.098
0.478,0.162,0.287,0.669
0.072,0.693,0.521,0.644
0.415,0.147,0.286,0.822
0.798,0.606,0.338,0.127
0.169,0.705,0.378,0.558
0.388,0.427,0.656,0.644
0.310,0.448,0.576,0.638
0.222,0.703,0.503,0.430
0.477,0.228,0.316,0.811
0.891,0.576,0.551,0.216
0.184,0.380,0.597,0.706
0.302,0.492,0.453,0.726
0.137,0.507,0.502,0.601
0.092,0.649,0.390,0.622
0.790,0.470,0.514,0.332
0.295,0.544,0.616,0.598
0.150,0.656,0.351,0.633
0.725,0.485,0.426,0.032
0.260,0.408,0.615,0.719
0.291,0.160,0.341,0.790
0.334,0.136,0.400,0.813
0.330,0.215,0.279,0.749
0.073,0.691,0.536,0.496
0.247,0.774,0.406,0.751
0.896,0.504,0.525,0.274
0.766,0.440,0.502,0.089
0.018,0.820,0.289,0.677
0.332,0.507,0.500,0.555
0.187,0.760,0.435,0.498
0.241,0.472,0.499,0.660
0.201,0.698,0.496,0.652
0.283,0.445,0.622,0.817
0.283,0.530,0.757,0.725
0.415,0.081,0.362,0.867
0.244,0.795,0.314,0.686
0.208,0.557,0.435,0.759
0.402,0.540,0.519,0.731
0.439,0.101,0.375,0.776
0.312,0.591,0.546,0.758
0.207,0.618,0.303,0.502
0.800,0.467,0.561,0.284
0.383,0.617,0.713,0.791
0.098,0.662,0.495,0.672
0.358,0.237,0.406,0.706
0.803,0.616,0.419,0.139
0.368,0.060,0.205,0.839
0.295,0.123,0.299,0.720
0.744,0.501,0.502,0.176
0.146,0.613,0.406,0.521
0.924,0.575,0.459,0.220
0.815,0.423,0.434,0.195
0.186,0.525,0.544,0.630
0.439,0.589,0.576,0.571
0.837,0.659,0.435,0.181
0.868,0.380,0.456,0.036
0.520,0.656,0.490,0.612
0.237,0.766,0.367,0.521
0.876,0.498,0.402,0.060
0.724,0.427,0.427,0.159
0.869,0.458,0.507,0.190
0.788,0.531,0.486,0.236
0.176,0.621,0.418,0.595
0.311,0.431,0.696,0.754
0.329,0.160,0.434,0.814
0.792,0.401,0.500,0.150
0.339,0.208,0.287,0.839
0.355,0.499,0.543,0.588
0.259,0.423,0.584,0.756
0.141,0.638,0.364,0.658
0.394,0.146,0.258,0.871
0.294,0.596,0.681,0.713
0.785,0.594,0.465,0.074
0.255,0.386,0.696,0.644
0.224,0.447,0.535,0.759
0.234,0.568,0.292,0.656
0.951,0.375,0.522,0.303
0.848,0.441,0.460,0.174
0.180,0.365,0.523,0.628
0.202,0.410,0.406,0.579
0.790,0.478,0.428,0.014
0.362,0.369,0.304,0.688
0.344,0.455,0.672,0.649
0.825,0.538,0.413,0.198
0.796,0.491,0.388,0.271
0.182,0.753,0.410,0.700
0.401,0.115,0.184,0.684
0.409,0.143,0.226,0.744
0.342,0.219,0.184,0.788
0.322,0.187,0.268,0.678
