 (88.074219+0.000000j), (-63.931336+0.219885j), (-40.936959-8.747681j), (47.932932-0.398922j), (-1.504166-11.071092j), (-7.410393+4.893614j), (-40.936959+8.747681j), (15.364901-4.554502j), (-11.294292+22.306659j), (8.473369+0.473195j), (-26.785043-11.457479j), (47.932932+0.398922j), (15.941640-4.411798j), (-63.931336-0.219885j), (3.081145+5.967349j), (15.364901+4.554502j)
 (80.117188+0.000000j), (-59.367508-4.855111j), (-38.358170-5.590134j), (23.827791-0.854196j), (1.558043-11.471123j), (3.170529+2.138772j), (-38.358170+5.590134j), (22.547480+2.446114j), (-14.203145+15.673164j), (5.547346+4.056128j), (1.444994-22.668846j), (23.827791+0.854196j), (19.357965+1.854363j), (-59.367508+4.855111j), (7.669861+7.009731j), (22.547480-2.446114j)
 (168.105469+0.000000j), (-99.463857-11.985687j), (-84.060387-6.519489j), (48.458104+8.672986j), (-40.758487+10.046280j), (18.223525-8.919853j), (-84.060387+6.519489j), (49.369455+5.158380j), (-10.171389+8.312746j), (24.482549-8.441541j), (17.969680-1.149077j), (48.458104-8.672986j), (-1.727427-6.124738j), (-99.463857+11.985687j), (-12.911406+0.523059j), (49.369455-5.158380j)
 (141.484375+0.000000j), (-109.915664+1.866449j), (-57.815981+0.309056j), (40.488549-4.487104j), (-25.954078+17.873788j), (20.375719-13.698286j), (-57.815981-0.309056j), (47.221549-1.699993j), (9.741014+11.316287j), (13.379763-16.475442j), (-11.176164-7.857362j), (40.488549+4.487104j), (39.108350+1.437128j), (-109.915664-1.866449j), (-13.969376+0.803015j), (47.221549+1.699993j)
 (96.128906+0.000000j), (-71.855125-5.844001j), (-46.539982+0.064683j), (44.814796-8.868157j), (-4.814358-0.757429j), (2.924453+6.777851j), (-46.539982-0.064683j), (24.834258-7.873813j), (-10.361208+19.488077j), (9.733824-10.089459j), (-26.635745-12.573088j), (44.814796+8.868157j), (21.000975-6.889902j), (-71.855125+5.844001j), (4.075465-9.026886j), (24.834258+7.873813j)
 (84.187500+0.000000j), (-63.059647+6.013308j), (-39.479643-1.888972j), (28.046793-0.855165j), (-3.265328-6.393403j), (13.978059-6.736749j), (-39.479643+1.888972j), (21.384058+6.637395j), (-13.742250+2.928249j), (2.246260+8.096957j), (5.379655-11.897778j), (28.046793+0.855165j), (20.415248+11.136912j), (-63.059647-6.013308j), (2.217181+15.990779j), (21.384058-6.637395j)
 (98.078125+0.000000j), (-34.127656+10.635297j), (-52.423102+4.827619j), (12.844590-7.700982j), (-0.124333+13.172282j), (9.860632-27.559780j), (-52.423102-4.827619j), (22.435128+19.049598j), (7.499563+15.148238j), (-4.453486+0.372858j), (37.445006-26.079168j), (12.844590+7.700982j), (-50.690464+18.375204j), (-34.127656-10.635297j), (12.350672+7.351440j), (22.435128-19.049598j)
 (66.546875+0.000000j), (-57.553288+4.744182j), (-34.487760-1.517390j), (21.371551+6.235966j), (2.214844-8.335577j), (-2.997399-0.848212j), (-34.487760+1.517390j), (35.802122+1.607541j), (-10.966793-18.790795j), (3.684408+16.307576j), (-2.319579+8.850787j), (21.371551-6.235966j), (34.851411+10.717045j), (-57.553288-4.744182j), (-26.028380+0.019495j), (35.802122-1.607541j)
 (54.949219+0.000000j), (-31.210770+4.906878j), (-27.626501+0.459658j), (40.735144-4.394798j), (-16.387356-5.637212j), (16.168903+4.087678j), (-27.626501-0.459658j), (-2.628370-8.185355j), (12.960267+7.498198j), (-11.422162-3.159186j), (-15.147233-9.815035j), (40.735144+4.394798j), (6.300220+9.158796j), (-31.210770-4.906878j), (0.448240-0.527634j), (-2.628370+8.185355j)
 (224.480469+0.000000j), (-104.270610+10.337824j), (-119.742925-10.537062j), (58.463066+2.662884j), (-27.965429+8.754219j), (49.045968-5.220163j), (-119.742925+10.537062j), (17.715366-13.818625j), (-57.047543-7.371470j), (39.981763-7.578215j), (44.722365+16.421180j), (58.463066-2.662884j), (-34.845388-9.307460j), (-104.270610-10.337824j), (41.859780+3.747529j), (17.715366+13.818625j)
 (89.570312+0.000000j), (-51.465118-5.357327j), (-30.161294+0.752870j), (23.438562-2.526723j), (-40.102206-11.483402j), (7.343108+3.479665j), (-30.161294-0.752870j), (14.701623-1.872705j), (-10.722905+6.382876j), (29.033853-4.324465j), (12.288492-4.034008j), (23.438562+2.526723j), (0.360299-0.961587j), (-51.465118+5.357327j), (-15.762180+8.864596j), (14.701623+1.872705j)
