0.352235,0.599540,0.451587,0.458534,0.543823,0.230007,0.641488,0.222489,0.525425,0.378736,0.604731,0.831413,0.304728,0.459627,0.584077,0.462458,0.359738,0.803635,0.507738,0.774759,0.628187,0.378123,0.774120
0.696708,0.559474,0.699326,0.419417,0.589948,0.726177,0.665222,0.566055,0.154663,0.760219,0.719852,0.751919,0.376625,0.736819,0.323944,0.649995,0.230440,0.698749,0.700447,0.496207,0.410199,0.187499,0.482544
0.822118,0.580245,0.450185,0.622522,0.682388,0.328015,0.466042,0.292187,0.297079,0.692818,0.547858,0.394090,0.314439,0.434258,0.347083,0.468725,0.422122,0.708113,0.438664,0.304769,0.305359,0.273833,0.716380
0.594876,0.649334,0.716249,0.657357,0.770654,0.120039,0.314210,0.567021,0.306739,0.483597,0.198379,0.278278,0.197430,0.630454,0.410563,0.379265,0.834214,0.740937,0.219155,0.274381,0.609894,0.502146,0.294269
0.447877,0.774273,0.527370,0.747937,0.630362,0.767735,0.552153,0.836207,0.516690,0.514380,0.558057,0.310745,0.409329,0.561579,0.395349,0.581823,0.417044,0.302550,0.425223,0.502288,0.509385,0.587512,0.610863
0.536123,0.722262,0.614139,0.663290,0.673780,0.559754,0.458111,0.692023,0.587491,0.481193,0.578207,0.266205,0.428695,0.642185,0.291578,0.633695,0.495436,0.296860,0.408993,0.459928,0.536162,0.504622,0.617781
0.573904,0.542766,0.651734,0.477200,0.398330,0.563022,0.506739,0.712493,0.734820,0.484430,0.637410,0.533209,0.555373,0.822668,0.385230,0.231669,0.082685,0.825276,0.625755,0.752458,0.769135,0.605299,0.448254
0.211641,0.379511,0.350948,0.471594,0.648179,0.498210,0.426708,0.432852,0.334245,0.740653,0.092846,0.708048,0.673007,0.579819,0.347772,0.412840,0.677692,0.394230,0.358967,0.252007,0.523863,0.275779,0.778094
0.275032,0.746817,0.477367,0.755261,0.497569,0.596643,0.169891,0.456670,0.279316,0.321307,0.276311,0.440350,0.390881,0.312726,0.515088,0.459351,0.247349,0.526455,0.185711,0.598393,0.698241,0.500883,0.614089
0.603418,0.523917,0.682460,0.392097,0.421220,0.714086,0.642862,0.660174,0.349377,0.737537,0.585800,0.807254,0.224151,0.723798,0.344123,0.571238,0.198655,0.582165,0.614998,0.459688,0.535866,0.229841,0.646162
