0.493,0.330,0.516,0.714,0.190,0.185,0.688,0.825,0.246,0.589,0.833,0.354
0.490,0.544,0.477,0.171,0.759,0.783,0.408,0.439,0.523,0.249,0.346,0.320
0.593,0.305,0.469,0.785,0.206,0.307,0.693,0.692,0.279,0.554,0.783,0.364
0.340,0.264,0.360,0.836,0.661,0.309,0.639,0.502,0.554,0.835,0.741,0.451
0.768,0.101,0.241,0.350,0.664,0.880,0.722,0.804,0.307,0.639,0.469,0.259
0.491,0.696,0.564,0.089,0.533,0.470,0.400,0.448,0.448,0.480,0.167,0.263
0.762,0.352,0.819,0.484,0.716,0.525,0.640,0.219,0.328,0.473,0.802,0.233
0.690,0.301,0.467,0.905,0.209,0.135,0.707,0.696,0.186,0.601,0.749,0.291
0.207,0.288,0.333,0.868,0.714,0.291,0.828,0.427,0.347,0.800,0.764,0.416
0.480,0.331,0.495,0.718,0.206,0.348,0.638,0.737,0.344,0.559,0.853,0.243
0.317,0.849,0.791,0.566,0.729,0.419,0.331,0.554,0.502,0.287,0.360,0.910
0.404,0.398,0.299,0.379,0.686,0.147,0.590,0.522,0.277,0.353,0.258,0.701
0.319,0.787,0.714,0.516,0.606,0.395,0.138,0.527,0.536,0.357,0.600,0.879
0.244,0.402,0.217,0.421,0.809,0.206,0.650,0.652,0.143,0.353,0.124,0.852
0.795,0.313,0.248,0.277,0.546,0.881,0.368,0.426,0.531,0.379,0.523,0.562
0.394,0.536,0.595,0.266,0.894,0.818,0.644,0.513,0.456,0.361,0.350,0.284
0.315,0.490,0.215,0.311,0.717,0.295,0.506,0.568,0.256,0.354,0.081,0.697
0.911,0.403,0.147,0.307,0.745,0.875,0.349,0.378,0.493,0.356,0.414,0.720
0.831,0.275,0.166,0.197,0.674,0.750,0.372,0.404,0.422,0.393,0.472,0.735
0.309,0.688,0.202,0.447,0.596,0.587,0.600,0.329,0.723,0.831,0.598,0.765
0.808,0.201,0.763,0.506,0.585,0.506,0.578,0.117,0.398,0.366,0.788,0.342
0.846,0.365,0.226,0.379,0.760,0.934,0.241,0.429,0.613,0.380,0.606,0.576
0.826,0.123,0.173,0.363,0.582,0.742,0.825,0.787,0.172,0.611,0.490,0.371
0.739,0.115,0.171,0.358,0.693,0.857,0.737,0.844,0.326,0.679,0.546,0.296
0.557,0.394,0.340,0.787,0.205,0.185,0.645,0.598,0.332,0.554,0.723,0.270
0.360,0.611,0.268,0.602,0.619,0.586,0.503,0.426,0.686,0.775,0.598,0.744
0.510,0.528,0.500,0.863,0.159,0.237,0.682,0.640,0.219,0.412,0.771,0.314
0.580,0.308,0.468,0.739,0.205,0.352,0.599,0.875,0.243,0.502,0.809,0.401
1.000,0.150,0.888,0.375,0.583,0.685,0.644,0.245,0.317,0.589,0.652,0.362
0.806,0.243,0.060,0.466,0.626,0.911,0.898,0.811,0.286,0.622,0.526,0.233
0.556,0.518,0.439,0.136,0.493,0.447,0.373,0.390,0.488,0.519,0.163,0.324
0.266,0.191,0.203,0.681,0.771,0.433,0.694,0.489,0.409,0.912,0.696,0.394
